"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
111645,247,"VNM","Vietnam",3,"Ðông B<U+1EAF>c",25,"B<U+1EAF>c Giang",244,"Son Ð<U+1ED9>ng","","Son Dong","Huy<U+1EC7>n","District"
111646,247,"VNM","Vietnam",3,"Ðông B<U+1EAF>c",25,"B<U+1EAF>c Giang",245,"Tân Yên","","Tan Yen","Huy<U+1EC7>n","District"
111647,247,"VNM","Vietnam",3,"Ðông B<U+1EAF>c",25,"B<U+1EAF>c Giang",246,"Vi<U+1EC7>t Yên","","Viet Yen","Huy<U+1EC7>n","District"
111648,247,"VNM","Vietnam",3,"Ðông B<U+1EAF>c",25,"B<U+1EAF>c Giang",247,"Yên Dung","","Yen Dung","Huy<U+1EC7>n","District"
111649,247,"VNM","Vietnam",3,"Ðông B<U+1EAF>c",25,"B<U+1EAF>c Giang",248,"Yên Th<U+1EBF>","","Yen The","Huy<U+1EC7>n","District"
111650,247,"VNM","Vietnam",3,"Ðông B<U+1EAF>c",26,"B<U+1EAF>c K<U+1EA1>n",249,"B<U+1EA1>ch Thông","","Bach Thong","Huy<U+1EC7>n","District"
111651,247,"VNM","Vietnam",3,"Ðông B<U+1EAF>c",26,"B<U+1EAF>c K<U+1EA1>n",250,"Ba B<U+1EC3>","","Ba Be","Huy<U+1EC7>n","District"
111652,247,"VNM","Vietnam",3,"Ðông B<U+1EAF>c",26,"B<U+1EAF>c K<U+1EA1>n",251,"Bac Kan","","Bac Kan","Thi xa","Township"
111653,247,"VNM","Vietnam",3,"Ðông B<U+1EAF>c",26,"B<U+1EAF>c K<U+1EA1>n",252,"Ch<U+1EE3> Ð<U+1ED3>n","","Cho Don","Huy<U+1EC7>n","District"
114281,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",1,"Cao Lanh","","","Huy<U+1EC7>n","District"
114282,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",2,"Cao Lãnh","","Cao Lanh","Huy<U+1EC7>n","District"
114283,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",3,"Châu Thành","","Chau Thanh","Huy<U+1EC7>n","District"
114284,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",4,"H<U+1ED3>ng Ng<U+1EF1>","","Hong Ngu","Huy<U+1EC7>n","District"
114285,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",5,"L<U+1EA5>p Vò","","Lap Vo","Huy<U+1EC7>n","District"
114286,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",6,"Lai Vung","","Lai Vung","Huy<U+1EC7>n","District"
114287,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",7,"Sa Ðéc","","Sa Dec","Thi xa","Township"
114288,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",8,"Tam Nông","","Tam Nong","Huy<U+1EC7>n","District"
114289,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",9,"Tân H<U+1ED3>ng","","Tan Hong","Huy<U+1EC7>n","District"
114290,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",10,"Thanh Bình","","Thanh Binh","Huy<U+1EC7>n","District"
114291,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",1,"Ð<U+1ED3>ng Tháp",11,"Tháp Mu<U+1EDD>i","","Thap Muoi","Huy<U+1EC7>n","District"
114292,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",2,"An Giang",12,"An Phú","","An Phu","Huy<U+1EC7>n","District"
114293,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",2,"An Giang",13,"Ch<U+1EE3> M<U+1EDB>i","","Cho Moi","Huy<U+1EC7>n","District"
114294,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",2,"An Giang",14,"Chau Doc","","","Thi xa","Township"
114295,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",2,"An Giang",15,"Châu Phú","","Chau Phu","Huy<U+1EC7>n","District"
114296,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",2,"An Giang",16,"Châu Thành","","Chau Thanh","Huy<U+1EC7>n","District"
114297,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",4,"B<U+1EBF>n Tre",35,"Gi<U+1ED3>ng Trôm","","Giong Trom","Huy<U+1EC7>n","District"
114298,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",4,"B<U+1EBF>n Tre",36,"M<U+1ECF> Cày","","Mo Cay","Huy<U+1EC7>n","District"
114299,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",4,"B<U+1EBF>n Tre",37,"Th<U+1EA1>nh Phú","","Thanh Phu","Huy<U+1EC7>n","District"
114300,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",5,"C<U+1EA7>n Tho",38,"Bình Th<U+1EE7>y","","Binh Thuy","Huy<U+1EC7>n","District"
114301,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",5,"C<U+1EA7>n Tho",39,"C<U+1EDD> Ð<U+1ECF>","","Co Do","Huy<U+1EC7>n","District"
114302,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",5,"C<U+1EA7>n Tho",40,"Cái Rang","","Cai Rang","Qu<U+1EAD>n","Urban District"
114303,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",5,"C<U+1EA7>n Tho",41,"Ninh Ki<U+1EC1>u","","Ninh Kieu","Qu<U+1EAD>n","Urban District"
114304,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",5,"C<U+1EA7>n Tho",42,"Ô Môn","","o Mon","Huy<U+1EC7>n","District"
114305,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",5,"C<U+1EA7>n Tho",43,"Phong Ði<U+1EC1>n","","Phong Dien","Huy<U+1EC7>n","District"
114306,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",5,"C<U+1EA7>n Tho",44,"Th<U+1ED1>t N<U+1ED1>t","","Thot Not","Huy<U+1EC7>n","District"
114307,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",5,"C<U+1EA7>n Tho",45,"Vinh Th<U+1EA1>nh","","Vinh Thanh","Huy<U+1EC7>n","District"
114308,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",6,"Cà Mau",46,"Ð<U+1EA7>m Doi","","Dam Doi","Huy<U+1EC7>n","District"
